index	DrugBankID
1105	DB00346
1106	DB00431
1107	DB00432
1108	DB00433
1109	DB00654
1110	DB00655
1111	DB00159
1112	DB00158
1113	DB00650
1114	DB00651
1115	DB00652
1116	DB00653
1117	DB00153
1118	DB00152
1119	DB00151
1120	DB00150
1121	DB00962
1122	DB00156
1123	DB00155
1124	DB00154
1125	DB00939
1126	DB00938
1127	DB04920
1128	DB01608
1129	DB04552
1130	DB00933
1131	DB00792
1132	DB00935
1133	DB00934
1134	DB00937
1135	DB00936
1136	DB06212
1137	DB01235
1138	DB01436
1139	DB00641
1140	DB00747
1141	DB00640
1142	DB00237
1143	DB00234
1144	DB00235
1145	DB00232
1146	DB00233
1147	DB00230
1148	DB00231
1149	DB01157
1150	DB01234
1151	DB00744
1152	DB06713
1153	DB01036
1154	DB00805
1155	DB00804
1156	DB00807
1157	DB00806
1158	DB00801
1159	DB00800
1160	DB00802
1161	DB06274
1162	DB00562
1163	DB00648
1164	DB00809
1165	DB00808
1166	DB06813
1167	DB00563
1168	DB01228
1169	DB01229
1170	DB04953
1171	DB00961
1172	DB01222
1173	DB01223
1174	DB01220
1175	DB01221
1176	DB01226
1177	DB01227
1178	DB01224
1179	DB04967
1180	DB04930
1181	DB00958
1182	DB00853
1183	DB00404
1184	DB00515
1185	DB00475
